person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,loan_id
26.0,male,Master,176125.0,0,MORTGAGE,20000.0,PERSONAL,11.01,0.11,2.0,628,No,0,17121
27.0,male,Associate,59418.0,7,MORTGAGE,8500.0,MEDICAL,10.59,0.14,6.0,661,No,0,21588
24.0,male,Master,104199.0,2,MORTGAGE,15000.0,EDUCATION,5.79,0.14,3.0,661,No,0,12963
25.0,female,High School,70431.0,4,RENT,6000.0,MEDICAL,12.18,0.09,4.0,577,Yes,0,6696
22.0,female,Bachelor,24993.0,0,RENT,6500.0,DEBTCONSOLIDATION,10.99,0.26,2.0,704,No,1,7273
26.0,male,Associate,117398.0,2,RENT,16800.0,HOMEIMPROVEMENT,12.42,0.14,3.0,605,No,0,1176
25.0,male,High School,72977.0,2,MORTGAGE,6500.0,HOMEIMPROVEMENT,5.79,0.09,4.0,649,No,0,8893
29.0,male,Associate,43025.0,7,RENT,11000.0,MEDICAL,8.59,0.26,10.0,667,No,1,24878
37.0,female,Associate,85089.0,14,MORTGAGE,30000.0,VENTURE,10.65,0.35,14.0,601,Yes,0,30903
28.0,female,High School,181353.0,2,MORTGAGE,12678.0,MEDICAL,11.42,0.07,6.0,634,No,0,40377
28.0,female,Master,39865.0,2,MORTGAGE,6000.0,VENTURE,7.51,0.15,5.0,676,Yes,0,19364
24.0,female,Associate,79029.0,4,RENT,5000.0,EDUCATION,10.64,0.06,2.0,650,Yes,0,37159
26.0,male,Bachelor,51379.0,5,RENT,21000.0,MEDICAL,17.26,0.41,4.0,666,No,1,548
24.0,male,High School,111699.0,0,MORTGAGE,15000.0,PERSONAL,11.11,0.13,4.0,546,Yes,0,13459
23.0,male,High School,65686.0,3,MORTGAGE,7000.0,MEDICAL,8.29,0.11,4.0,654,No,0,34379
24.0,male,Associate,49973.0,2,RENT,10000.0,HOMEIMPROVEMENT,9.17,0.2,5.0,699,Yes,0,39031
27.0,female,High School,114271.0,2,MORTGAGE,35000.0,EDUCATION,8.4,0.31,4.0,636,Yes,0,37584
27.0,female,Bachelor,37088.0,2,RENT,2000.0,VENTURE,11.23,0.05,4.0,617,Yes,0,39592
23.0,female,Associate,205048.0,1,RENT,12000.0,PERSONAL,11.11,0.06,2.0,595,No,0,40284
22.0,male,High School,114047.0,0,MORTGAGE,20000.0,PERSONAL,8.88,0.18,2.0,572,Yes,0,13590
30.0,female,Associate,38217.0,4,RENT,3114.0,VENTURE,13.37,0.08,10.0,535,Yes,0,32823
22.0,male,Master,32245.0,1,RENT,9000.0,MEDICAL,10.59,0.28,2.0,602,No,1,9770
23.0,male,Bachelor,36680.0,0,RENT,5000.0,DEBTCONSOLIDATION,7.66,0.14,4.0,696,Yes,0,4728
25.0,female,High School,53032.0,4,RENT,3000.0,EDUCATION,6.15,0.06,5.0,655,No,0,35882
27.0,female,High School,121189.0,5,MORTGAGE,16000.0,DEBTCONSOLIDATION,13.43,0.13,5.0,642,No,0,26316
22.0,female,Bachelor,72972.0,0,RENT,3600.0,EDUCATION,15.27,0.05,2.0,650,Yes,0,3584
23.0,male,High School,65742.0,0,MORTGAGE,1400.0,DEBTCONSOLIDATION,5.42,0.02,4.0,636,No,0,7584
25.0,female,High School,109219.0,5,MORTGAGE,1195.0,EDUCATION,8.76,0.01,4.0,617,Yes,0,41160
24.0,male,High School,75910.0,1,MORTGAGE,4000.0,HOMEIMPROVEMENT,8.9,0.05,4.0,676,Yes,0,17151
44.0,male,Associate,92194.0,20,MORTGAGE,3600.0,HOMEIMPROVEMENT,14.79,0.04,12.0,635,No,0,31099
29.0,female,Master,61166.0,11,RENT,6000.0,DEBTCONSOLIDATION,13.49,0.1,7.0,653,No,0,21708
23.0,female,Associate,84138.0,0,MORTGAGE,9000.0,MEDICAL,11.22,0.11,3.0,671,Yes,0,38067
23.0,female,Bachelor,71934.0,0,RENT,7500.0,EDUCATION,6.54,0.1,2.0,672,Yes,0,8357
23.0,female,Bachelor,67044.0,0,MORTGAGE,5000.0,VENTURE,7.05,0.07,3.0,621,Yes,0,33437
27.0,male,Bachelor,71396.0,5,MORTGAGE,9800.0,EDUCATION,13.22,0.14,9.0,635,Yes,0,22851
26.0,female,Bachelor,54311.0,3,MORTGAGE,6000.0,MEDICAL,7.95,0.11,6.0,662,No,0,34778
23.0,male,High School,28492.0,2,MORTGAGE,3600.0,HOMEIMPROVEMENT,17.27,0.13,3.0,502,No,1,859
26.0,male,Bachelor,101191.0,6,MORTGAGE,1600.0,MEDICAL,6.76,0.02,3.0,611,Yes,0,12607
33.0,male,Associate,75779.0,10,RENT,9686.0,PERSONAL,14.84,0.13,6.0,590,No,1,42845
39.0,male,Associate,63537.0,17,RENT,14000.0,DEBTCONSOLIDATION,11.71,0.22,12.0,647,Yes,0,31471
51.0,female,Associate,55516.0,30,RENT,8400.0,MEDICAL,13.11,0.15,18.0,658,No,0,32451
29.0,female,Bachelor,67897.0,6,RENT,7000.0,HOMEIMPROVEMENT,10.28,0.1,6.0,670,Yes,0,28754
29.0,male,Bachelor,145281.0,4,MORTGAGE,5000.0,DEBTCONSOLIDATION,9.32,0.03,5.0,651,Yes,0,26923
25.0,male,High School,190643.0,0,MORTGAGE,20000.0,VENTURE,14.26,0.1,2.0,619,No,0,15724
23.0,female,Bachelor,32431.0,0,RENT,6000.0,VENTURE,11.01,0.19,3.0,637,No,0,6190
24.0,male,Bachelor,54966.0,0,MORTGAGE,9050.0,VENTURE,6.62,0.16,4.0,556,Yes,0,5310
23.0,male,Associate,90359.0,3,RENT,18500.0,EDUCATION,11.26,0.2,3.0,697,Yes,0,930
23.0,male,High School,47803.0,0,RENT,6000.0,DEBTCONSOLIDATION,13.28,0.13,2.0,674,No,1,44497
34.0,male,Associate,43692.0,9,RENT,10000.0,PERSONAL,10.08,0.23,6.0,633,Yes,0,24034
25.0,female,High School,60517.0,1,RENT,12000.0,EDUCATION,7.14,0.2,4.0,602,Yes,0,2698
24.0,female,Master,56079.0,2,RENT,2000.0,EDUCATION,12.98,0.04,4.0,588,Yes,0,17456
29.0,male,Bachelor,24087.0,5,RENT,8120.0,PERSONAL,8.06,0.34,9.0,549,No,1,42410
31.0,female,Master,72748.0,9,MORTGAGE,18341.0,EDUCATION,15.66,0.25,10.0,728,No,0,35241
25.0,male,High School,54024.0,3,RENT,10000.0,PERSONAL,10.47,0.19,4.0,482,Yes,0,33012
25.0,female,High School,116369.0,4,OWN,4000.0,EDUCATION,9.88,0.03,3.0,521,Yes,0,13817
31.0,female,Master,142825.0,9,RENT,2000.0,PERSONAL,16.89,0.01,8.0,538,No,1,19054
24.0,male,Bachelor,65888.0,1,RENT,12000.0,DEBTCONSOLIDATION,9.79,0.18,4.0,697,Yes,0,36863
22.0,male,Associate,39631.0,0,RENT,4800.0,EDUCATION,13.61,0.12,4.0,689,No,0,4402
25.0,male,Bachelor,84674.0,4,RENT,5600.0,MEDICAL,8.57,0.07,3.0,611,Yes,0,41181
33.0,female,Associate,144957.0,11,MORTGAGE,4500.0,MEDICAL,5.99,0.03,5.0,704,Yes,0,26984
28.0,male,Bachelor,49563.0,6,RENT,6000.0,DEBTCONSOLIDATION,11.26,0.12,7.0,614,Yes,0,42052
21.0,female,Bachelor,15394.0,0,MORTGAGE,3250.0,DEBTCONSOLIDATION,15.68,0.21,3.0,518,No,1,88
32.0,male,Master,38029.0,7,RENT,5000.0,EDUCATION,11.49,0.13,8.0,586,No,1,27976
23.0,female,High School,72751.0,2,RENT,2000.0,MEDICAL,13.06,0.03,3.0,663,Yes,0,1921
26.0,male,High School,87324.0,1,MORTGAGE,10000.0,EDUCATION,14.84,0.11,3.0,620,No,0,33697
35.0,female,Associate,110401.0,11,MORTGAGE,4000.0,EDUCATION,7.29,0.04,9.0,671,No,0,25859
22.0,male,Associate,114267.0,0,RENT,20000.0,PERSONAL,11.01,0.18,2.0,602,Yes,0,805
34.0,female,Bachelor,72987.0,12,RENT,11390.0,PERSONAL,11.03,0.16,9.0,647,No,0,41671
32.0,male,Bachelor,480914.0,7,MORTGAGE,18019.0,EDUCATION,7.57,0.04,7.0,676,No,0,32863
22.0,male,Associate,49128.0,0,RENT,19000.0,EDUCATION,12.18,0.39,2.0,544,No,1,16434
22.0,female,Master,34935.0,0,RENT,1200.0,MEDICAL,12.69,0.03,3.0,672,No,0,1459
36.0,male,Bachelor,85249.0,11,MORTGAGE,16000.0,DEBTCONSOLIDATION,6.91,0.19,14.0,658,No,0,30920
21.0,male,Associate,32110.0,0,RENT,7750.0,EDUCATION,13.16,0.24,3.0,528,Yes,0,8491
29.0,male,Bachelor,55104.0,7,RENT,5377.0,DEBTCONSOLIDATION,13.05,0.1,7.0,655,Yes,0,37557
40.0,male,High School,93348.0,19,MORTGAGE,12000.0,EDUCATION,11.01,0.13,12.0,588,Yes,0,31113
37.0,female,High School,45330.0,12,MORTGAGE,4000.0,EDUCATION,10.59,0.09,12.0,614,Yes,0,29748
23.0,male,Associate,44309.0,0,RENT,8000.0,VENTURE,11.01,0.18,2.0,662,Yes,0,17255
28.0,female,Associate,94616.0,6,MORTGAGE,13000.0,HOMEIMPROVEMENT,11.01,0.14,9.0,664,Yes,0,24909
35.0,male,Bachelor,252859.0,13,MORTGAGE,23496.0,PERSONAL,11.1,0.09,9.0,728,No,0,40568
23.0,male,High School,40403.0,0,RENT,12000.0,DEBTCONSOLIDATION,8.49,0.3,3.0,612,No,1,12239
40.0,male,High School,35738.0,19,RENT,5400.0,DEBTCONSOLIDATION,10.37,0.15,15.0,662,Yes,0,30112
24.0,male,High School,48775.0,0,RENT,7500.0,PERSONAL,11.39,0.15,4.0,590,Yes,0,36997
28.0,female,Associate,117229.0,5,RENT,35000.0,VENTURE,14.69,0.3,6.0,609,No,1,43525
28.0,male,Associate,132566.0,4,MORTGAGE,17000.0,VENTURE,6.03,0.13,7.0,617,Yes,0,26659
25.0,male,Associate,52001.0,2,RENT,4000.0,MEDICAL,12.99,0.08,3.0,631,Yes,0,3929
21.0,female,Associate,36994.0,0,MORTGAGE,14000.0,DEBTCONSOLIDATION,9.38,0.38,4.0,567,Yes,0,2156
21.0,female,Bachelor,35798.0,0,MORTGAGE,5500.0,PERSONAL,13.23,0.15,2.0,651,Yes,0,1724
23.0,female,Bachelor,65543.0,0,RENT,10000.0,EDUCATION,14.42,0.15,3.0,674,No,1,11422
26.0,male,Bachelor,101887.0,4,RENT,15000.0,DEBTCONSOLIDATION,10.4,0.15,4.0,687,No,0,33235
34.0,female,High School,73065.0,12,RENT,6000.0,VENTURE,8.0,0.08,9.0,701,No,0,21790
34.0,male,High School,94282.0,11,RENT,18000.0,EDUCATION,8.9,0.19,9.0,583,Yes,0,18583
22.0,male,Master,37050.0,0,OWN,5125.0,EDUCATION,10.0,0.14,3.0,596,No,0,1960
28.0,male,Bachelor,90935.0,4,RENT,5625.0,VENTURE,6.91,0.06,5.0,626,Yes,0,21419
22.0,female,Bachelor,48880.0,0,RENT,5000.0,EDUCATION,6.17,0.1,2.0,688,No,0,4929
25.0,female,Associate,58522.0,3,RENT,5000.0,PERSONAL,9.63,0.09,3.0,632,Yes,0,5078
23.0,male,Associate,35409.0,1,MORTGAGE,8400.0,DEBTCONSOLIDATION,9.63,0.24,3.0,665,Yes,0,1717
26.0,male,Master,49364.0,5,RENT,12000.0,VENTURE,11.01,0.24,4.0,587,Yes,0,12371
25.0,female,Master,12979.0,4,OWN,5365.0,HOMEIMPROVEMENT,11.52,0.41,3.0,478,No,1,42663
29.0,female,Bachelor,40370.0,6,RENT,6000.0,VENTURE,9.99,0.15,6.0,630,No,0,21561
26.0,female,Bachelor,241228.0,8,MORTGAGE,2786.0,DEBTCONSOLIDATION,13.79,0.01,3.0,661,No,0,33608
33.0,male,Master,47316.0,15,RENT,7500.0,VENTURE,11.01,0.16,5.0,648,No,1,22663
29.0,female,Bachelor,16687.0,2,RENT,7109.0,VENTURE,8.78,0.43,7.0,587,No,1,42277
37.0,male,Associate,90879.0,11,RENT,10000.0,VENTURE,11.01,0.11,15.0,724,No,0,31083
34.0,male,Bachelor,48056.0,9,RENT,10000.0,PERSONAL,15.7,0.21,7.0,667,No,0,24090
26.0,male,High School,115018.0,4,RENT,14339.0,VENTURE,12.74,0.12,6.0,634,No,0,35053
27.0,male,High School,44236.0,5,MORTGAGE,10000.0,EDUCATION,8.21,0.23,6.0,687,Yes,0,37385
34.0,female,Master,36840.0,15,RENT,12000.0,HOMEIMPROVEMENT,8.9,0.33,8.0,624,No,1,25062
23.0,female,Associate,67031.0,1,MORTGAGE,8000.0,EDUCATION,7.49,0.12,3.0,660,No,0,35763
27.0,female,High School,116332.0,7,RENT,17317.0,PERSONAL,11.31,0.15,6.0,637,No,0,35613
30.0,female,Bachelor,46645.0,10,RENT,15050.0,MEDICAL,9.99,0.32,7.0,647,No,1,27612
36.0,male,Associate,43382.0,12,MORTGAGE,12000.0,DEBTCONSOLIDATION,8.9,0.28,17.0,704,No,0,29649
51.0,male,Bachelor,600734.0,33,MORTGAGE,20000.0,PERSONAL,10.37,0.03,19.0,683,No,0,32303
25.0,female,Associate,128048.0,2,MORTGAGE,4633.0,HOMEIMPROVEMENT,8.25,0.04,3.0,692,Yes,0,33812
31.0,female,Bachelor,33101.0,7,MORTGAGE,6500.0,EDUCATION,11.11,0.2,7.0,700,Yes,0,18821
23.0,male,Associate,41348.0,0,MORTGAGE,8000.0,PERSONAL,6.99,0.19,2.0,645,Yes,0,2653
32.0,male,Bachelor,97042.0,8,RENT,6400.0,PERSONAL,10.99,0.07,8.0,685,No,0,28018
24.0,female,High School,101616.0,2,RENT,12000.0,PERSONAL,6.91,0.12,2.0,620,Yes,0,12984
39.0,male,Associate,77802.0,17,RENT,4800.0,HOMEIMPROVEMENT,12.73,0.06,11.0,702,No,0,32194
23.0,female,Bachelor,35960.0,4,RENT,8000.0,EDUCATION,12.73,0.22,3.0,521,No,1,8715
43.0,female,Master,480854.0,20,MORTGAGE,28000.0,VENTURE,9.91,0.06,11.0,619,No,0,29137
27.0,male,Bachelor,66506.0,2,MORTGAGE,5500.0,VENTURE,8.41,0.08,5.0,684,Yes,0,39383
55.0,male,Associate,74199.0,35,MORTGAGE,8500.0,PERSONAL,6.76,0.11,20.0,670,No,0,32445
25.0,female,Bachelor,76049.0,6,RENT,4000.0,EDUCATION,8.9,0.05,3.0,675,Yes,0,4032
34.0,male,Associate,83978.0,9,RENT,10000.0,PERSONAL,12.18,0.12,6.0,676,No,0,24668
23.0,female,Associate,86278.0,0,MORTGAGE,8500.0,VENTURE,5.79,0.1,2.0,596,Yes,0,11014
26.0,female,Bachelor,40001.0,2,MORTGAGE,3500.0,HOMEIMPROVEMENT,8.59,0.09,2.0,569,Yes,0,2519
26.0,female,Associate,58703.0,3,RENT,8000.0,DEBTCONSOLIDATION,9.96,0.14,3.0,651,No,0,8930
31.0,female,Associate,59650.0,5,RENT,5000.0,DEBTCONSOLIDATION,16.4,0.08,5.0,686,No,1,21067
24.0,male,Associate,38247.0,2,RENT,6000.0,MEDICAL,9.18,0.16,6.0,633,No,0,41179
23.0,female,Bachelor,109410.0,4,MORTGAGE,21000.0,VENTURE,7.49,0.19,4.0,677,Yes,0,13268
40.0,male,Associate,36890.0,19,RENT,5500.0,MEDICAL,14.74,0.15,12.0,641,Yes,0,30125
31.0,female,Master,69118.0,9,MORTGAGE,22528.0,EDUCATION,9.53,0.33,7.0,699,Yes,0,33754
28.0,female,Associate,72916.0,6,MORTGAGE,13000.0,EDUCATION,8.9,0.18,10.0,647,Yes,0,22944
35.0,male,Master,47514.0,11,RENT,10000.0,MEDICAL,12.36,0.21,7.0,642,No,1,43282
28.0,female,Bachelor,40276.0,5,RENT,7595.0,PERSONAL,8.44,0.19,10.0,635,Yes,0,39410
22.0,male,Bachelor,76682.0,0,MORTGAGE,15000.0,MEDICAL,11.01,0.2,3.0,678,Yes,0,9627
29.0,female,Associate,138867.0,5,OWN,35000.0,EDUCATION,15.28,0.25,5.0,601,No,0,26847
30.0,female,Master,29948.0,5,RENT,3000.0,VENTURE,9.77,0.1,7.0,613,Yes,0,33645
27.0,male,Bachelor,87490.0,3,MORTGAGE,17000.0,MEDICAL,6.03,0.19,6.0,700,No,0,24334
23.0,female,Master,109240.0,1,RENT,17000.0,EDUCATION,10.59,0.16,3.0,572,No,0,1155
26.0,female,Associate,58654.0,2,MORTGAGE,5000.0,EDUCATION,8.49,0.09,4.0,667,Yes,0,6037
25.0,female,High School,81161.0,4,RENT,12000.0,EDUCATION,10.72,0.15,6.0,684,Yes,0,39313
28.0,male,Master,47040.0,5,RENT,5000.0,MEDICAL,10.09,0.11,10.0,682,Yes,0,41332
21.0,female,High School,10419.0,2,RENT,2707.0,MEDICAL,10.95,0.26,3.0,627,No,1,43883
22.0,male,High School,39541.0,4,RENT,10000.0,VENTURE,13.22,0.25,3.0,671,No,1,10526
22.0,male,Associate,58731.0,0,RENT,10000.0,MEDICAL,11.71,0.17,4.0,557,Yes,0,11107
23.0,male,High School,97884.0,0,RENT,12000.0,PERSONAL,8.9,0.12,3.0,543,Yes,0,12956
22.0,male,Bachelor,75378.0,0,MORTGAGE,3600.0,EDUCATION,7.37,0.05,2.0,701,No,0,9512
24.0,male,High School,43109.0,5,RENT,1000.0,VENTURE,12.44,0.02,4.0,541,Yes,0,39477
25.0,male,Master,41660.0,1,RENT,7500.0,HOMEIMPROVEMENT,9.41,0.18,4.0,690,No,1,44467
24.0,female,High School,69659.0,0,MORTGAGE,20000.0,MEDICAL,19.13,0.29,3.0,637,No,1,17379
28.0,male,Bachelor,44408.0,6,RENT,9600.0,MEDICAL,14.61,0.22,10.0,714,No,1,23803
22.0,male,High School,38747.0,1,RENT,2900.0,DEBTCONSOLIDATION,11.01,0.07,3.0,635,No,1,17277
29.0,female,Bachelor,37031.0,8,RENT,6000.0,HOMEIMPROVEMENT,17.99,0.16,7.0,618,No,1,21528
30.0,male,Associate,33592.0,9,RENT,6000.0,EDUCATION,12.42,0.18,5.0,723,No,0,40317
24.0,female,High School,82983.0,3,MORTGAGE,4000.0,EDUCATION,6.39,0.05,3.0,694,No,0,10519
31.0,male,Bachelor,45586.0,8,RENT,13000.0,PERSONAL,6.92,0.29,6.0,630,No,1,19241
26.0,female,Bachelor,35810.0,2,RENT,1000.0,EDUCATION,6.17,0.03,4.0,636,No,0,35207
38.0,male,Doctorate,51552.0,14,RENT,4500.0,MEDICAL,6.62,0.09,11.0,680,Yes,0,29863
23.0,female,Bachelor,73348.0,0,RENT,5400.0,MEDICAL,7.49,0.07,3.0,684,No,0,5770
24.0,female,Associate,105162.0,3,MORTGAGE,15000.0,VENTURE,11.01,0.14,2.0,684,No,0,13014
27.0,female,Master,65641.0,3,RENT,3625.0,EDUCATION,7.9,0.06,6.0,641,Yes,0,20028
33.0,male,Bachelor,162993.0,10,MORTGAGE,20129.0,VENTURE,17.09,0.12,5.0,641,Yes,0,36593
26.0,male,Associate,56248.0,4,OWN,9225.0,HOMEIMPROVEMENT,11.01,0.16,2.0,678,No,0,5680
25.0,male,High School,59373.0,0,RENT,12000.0,VENTURE,8.64,0.2,5.0,604,No,0,36920
34.0,female,Associate,65897.0,10,MORTGAGE,8000.0,DEBTCONSOLIDATION,12.08,0.12,12.0,653,No,0,38237
29.0,female,High School,50488.0,5,MORTGAGE,3800.0,MEDICAL,7.51,0.08,9.0,526,No,1,21322
21.0,male,Bachelor,105896.0,0,MORTGAGE,12000.0,EDUCATION,5.99,0.11,2.0,502,Yes,0,13070
23.0,female,High School,73668.0,0,RENT,8000.0,VENTURE,9.25,0.11,4.0,669,No,0,9089
22.0,female,Bachelor,61014.0,0,RENT,18400.0,DEBTCONSOLIDATION,9.99,0.3,2.0,649,No,1,939
24.0,male,High School,65774.0,1,RENT,5600.0,VENTURE,10.59,0.09,4.0,616,Yes,0,5978
23.0,male,High School,75364.0,0,MORTGAGE,9000.0,MEDICAL,11.01,0.12,4.0,614,No,0,9425
37.0,female,High School,96783.0,14,MORTGAGE,3000.0,HOMEIMPROVEMENT,11.01,0.03,15.0,610,Yes,0,31192
23.0,female,Bachelor,96641.0,1,MORTGAGE,6000.0,DEBTCONSOLIDATION,11.01,0.06,3.0,571,Yes,0,12098
26.0,female,Master,89932.0,2,RENT,8000.0,EDUCATION,13.92,0.09,3.0,647,No,0,9418
23.0,male,Bachelor,90772.0,4,MORTGAGE,31825.0,EDUCATION,7.9,0.35,2.0,541,Yes,0,11429
23.0,male,Bachelor,49018.0,1,MORTGAGE,4000.0,PERSONAL,7.14,0.08,3.0,524,Yes,0,4259
27.0,male,High School,40493.0,5,RENT,5000.0,PERSONAL,15.21,0.12,9.0,629,Yes,0,20686
27.0,female,Master,70418.0,3,RENT,20000.0,DEBTCONSOLIDATION,11.24,0.28,5.0,579,No,1,44156
23.0,male,Associate,75500.0,0,MORTGAGE,1800.0,EDUCATION,11.71,0.02,3.0,589,Yes,0,9400
26.0,male,Master,51390.0,5,RENT,14000.0,VENTURE,6.92,0.27,2.0,675,No,1,13834
27.0,male,Master,47545.0,2,RENT,3000.0,DEBTCONSOLIDATION,11.48,0.06,9.0,677,Yes,0,39650
41.0,male,High School,88496.0,18,RENT,8550.0,EDUCATION,14.3,0.1,16.0,590,No,1,30747
27.0,male,Bachelor,75135.0,7,RENT,9600.0,PERSONAL,10.25,0.13,8.0,691,No,1,23832
24.0,female,Master,105213.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,10.36,0.1,2.0,650,No,0,16094
33.0,male,Associate,78965.0,8,RENT,12351.0,EDUCATION,12.26,0.16,8.0,688,No,0,37961
22.0,male,High School,73248.0,0,RENT,6600.0,DEBTCONSOLIDATION,10.59,0.09,2.0,686,No,0,7413
23.0,male,Associate,30034.0,2,RENT,2700.0,DEBTCONSOLIDATION,10.75,0.09,2.0,599,No,1,13370
27.0,male,Associate,41665.0,4,MORTGAGE,12000.0,VENTURE,6.13,0.29,5.0,537,Yes,0,40996
28.0,female,Doctorate,120929.0,7,OWN,2000.0,VENTURE,14.27,0.02,5.0,530,Yes,0,26260
40.0,female,Associate,114806.0,19,OWN,5000.0,HOMEIMPROVEMENT,10.65,0.04,16.0,576,No,0,31423
63.0,male,High School,2139143.0,43,RENT,12025.0,EDUCATION,14.27,0.01,30.0,724,No,0,32497
37.0,male,Associate,51478.0,18,RENT,10200.0,PERSONAL,13.16,0.2,14.0,697,No,0,31120
30.0,female,Master,102941.0,8,MORTGAGE,4200.0,EDUCATION,5.99,0.04,7.0,680,Yes,0,41857
